Task Name,Description,Level,Level Name,Work Areas,Sort Order
L1-001,"Complete the FLT induction assessment and on-boarding",1,New Starter,"Keg line - inside, Keg line - outside, Keg loading, Can lines, Bot lines, Packaging, Piloting, Loading",1
L1-002,"Knows and understands safety procedures around FLT.",1,New Starter,"",2
L1-003,"Complete the pre-assessment questionnaire & assessment given RT/TR instructor.",1,New Starter,"",3
L1-004,"Review and understand the FLT theory test & practical test and understand/pass the manual refresher",1,New Starter,"",4
L1-005,"Knows and understand the basic controls and guidance plus the general principle & purpose of VPO.",1,New Starter,"",5
L1-006,"Knows and understands basic warehouse layout and traffic paths.",1,New Starter,"",6
L1-007,"Knows and understands safe working techniques and use of ASRS.",1,New Starter,"",7
L1-008,"Understands and has basic operational understanding of WMS terminals and IT introduction.",1,New Starter,"",8
L1-009,"Understanding PPE requirements for all logistics areas",1,New Starter,"",9
L1-010,"Understands basic hand hygiene, cleaning process and Code of Practice",1,New Starter,"",10
L1-011,"Understands the risks associated with the storage and handling of Chemical substances.",1,New Starter,"",11
L1-012,"Understands the operational controls & emergency response procedures regarding fire evacuation.",1,New Starter,"",12
L1-013,"Understands and apply the Incident/accident procedures and reporting. How the pauses in Logistics.",1,New Starter,"",13
L1-014,"Understands the applicable procedures, recording standards, and near miss process related to task specific safety.",1,New Starter,"",14
L1-015,"Knows and understands basic information around Quality and awareness of EES Process",1,New Starter,"",15
L1-016,"Understands the basic controls and guidance plus the general principle & purpose of VPO. Awareness of the VPO introduction training document",1,New Starter,"",16
L1-017,"Able to identify and deal with hazards, operational controls, and preventative measures during normal warehouse operations.",1,New Starter,"",17
L1-018,"Understands the Red zone policy and general transport safety procedures.",1,New Starter,"",18
L1-019,"Understands basic SB principles and cleaning procedures within department.",1,New Starter,"",19
L1-020,"Knows and understands the process of waste segregation, netting operation at source, storage and disposal.",1,New Starter,"",20
L1-021,"Understands the environmental hazards and risks in Logistics (i.e., safety data sheet and relevant MSD) related to normal operations.",1,New Starter,"",21
L1-022,"The material handling procedure throughout the logistics area",1,New Starter,"",22
L1-023,"Understands the principle of safe storage, all products and how this can be applied daily.",1,New Starter,"",23
L1-024,"Knows and understand how to identify key hot tasks in all process – moving to docks, opening trailer curtains & doors, working at height etc.",1,New Starter,"",24
L1-025,"Understands the site safety & environmental policy and how it applies in their role.",1,New Starter,"",25
L1-026,"Active against breaks/controls in Logistics by reporting hazards, and be involved in the solution to correct.",1,New Starter,"",26
L1-027,"Knows and understands material handling procedures and guidelines, and the controls related to improper manual handling.",1,New Starter,"",27
L1-028,"Know and apply the principles of trailer safety - Safety whilst docker / counterbalance.",1,New Starter,"",28
L1-029,"Transfer of the basic concepts of Modern of Logistics for key learnings are tasks PTE (De-wrap bottles applicable to BBG.",1,New Starter,"",29
L2-030,"Understanding one form/standard of Risk Assessments for the tasks undertaken.",2,Beginner,"Keg line - inside, Keg line - outside, Keg loading, Can lines, Bot lines, Packaging, Piloting, Loading",30
L2-031,"Understands and has the confidence of LOTO for the relevant area in which the development & ASRS could be involved.",2,Beginner,"",31
L2-032,"Knows and understands how to access a specific FLT SOP to measure all non-compliant product.",2,Beginner,"",32
L2-033,"Knows and applies the incoming control procedures when receiving goods from suppliers or other sites. Able to check to ensure that staging locations are in",2,Beginner,"",33
L2-034,"Understands basic departmental SOP + size how to find and understand them also can explain any steps in a process (Longchamps Acacia system",2,Beginner,"",34
L2-035,"Know the safety indicators related to their role (LTI, MTI, FAI).",2,Beginner,"",35
L2-036,"Understands the low normal impact of beer / ale (water, energy, & spill management).",2,Beginner,"",36
L2-037,"Know and understand FIFO principles",2,Beginner,"",37
L2-038,"Return material control / segregt on by duo/len types / loading correct pallets into live magazine",2,Beginner,"",38
L2-039,"Know and understands loading and unloading procedures with load audit functionality",2,Beginner,"",39
L2-040,"Knows and understands how to operate storage racking systems",2,Beginner,"",40
L2-041,"Knows and understands what to perform hot tasks",2,Beginner,"",41
L2-042,"Know and understands daily / weekly PRs & MRs",2,Beginner,"",42
L2-043,"Knows and understands how to repeat an inbound delivery into WMS",2,Beginner,"",43
L2-044,"Uses tip, what and one/ex working Creating Loan, knowing and understanding of SOP/Safety implications",2,Beginner,"",44
L2-045,"Knows and understands how to deal with basic stock system queries with WMS / SAP",2,Beginner,"",45
L2-046,"Knows and understands how to service a dock-pig (the - removing pallets of out-export loads from the Lines",2,Beginner,"",46
L2-047,"Knows and understands how to deliver pallets of dry goods to/from the Lines",2,Beginner,"",47
L2-048,"Knows and understands how to deal with spillages & breakages - system-call call by pre practical",2,Beginner,"",48
L2-049,"Knows and understands how to check a return pallet is within quality tolerances and alenderes are acceptable",2,Beginner,"",49
L2-050,"Knows and understands how to manage damaged pallets",2,Beginner,"",50
L2-051,"Knows and understands boxing and packaging materials, stacking heights and locations.",2,Beginner,"",51
L2-052,"Knows and Understands how to perform 360 degree empty can pallet checks",2,Beginner,"",52
L2-053,"Knows and understands Red Zone Safety rules",2,Beginner,"",53
L2-054,"Knows and understand how to follow procedures and tool for Safety",2,Beginner,"",54
L2-055,"Knows and understands loading/unloading responsibilities",2,Beginner,"",55
L2-056,"Know and understands how to operate storage racking systems",2,Beginner,"",56
L2-057,"Knows and understands how to operate the keg area FLT with different foe cals/achenda – specifically FLcct and load weights.",2,Beginner,"",57
L2-058,"Knows and understands the infra safety rules associated with operating within the keg ares in the.",2,Beginner,"",58
L2-059,"Knows and understands how to safely apply daily checks on a keg washer",2,Beginner,"",59
L2-060,"Knows and understands how to identify different keg full products for loading and unloading",2,Beginner,"",60
L2-061,"Know and understand routing and Empty plan into staging been valders vsuty to PPL",2,Beginner,"",61
L2-062,"Knows and understands manual hand-lift of kegs",2,Beginner,"",62
L2-063,"Knows and understands loading / unloading decanting area and load / weight application",2,Beginner,"",63
L2-064,"Understands and apply the Principles of effective VPO implementation in our next link to our PUSH -v with the Excellence programme definitions",2,Beginner,"",64
L2-065,"EMCS & T1 Export document creation",2,Beginner,"",65
L3-066,"Standard and advance use of EMCS",3,Intermediate,Piloting,66
L3-067,"Processing shortages / chasing research on missing stock items",3,Intermediate,"",67
L3-068,"VPO operation via advanced overview of system architecture within operation awareness",3,Intermediate,"",68
L3-069,"Resuming despatch rules and system investigation for wise checking.",3,Intermediate,"",69
L3-070,"Rum point application of PPO with the department to quality for us using courgency for",3,Intermediate,"",70
L3-071,"Able to Manage a Greens line (also must complete the relevant Greens line competencies pamper fos.",3,Intermediate,"",71
L3-072,"Linking with SPL Service providers - on & off site Transport. Materials suppliers, Inventory Deployment & external warehouse teams",3,Intermediate,"",72
L3-073,"Proficient PRs / Customer demurrage & loading at scheduled attainment and green line profyle.",3,Intermediate,"",73
L3-074,"Removal of LPs from TPP and asufyty to charge WMS locations.",3,Intermediate,"",74
L3-075,"Ability to reliable RF of justified & WMS",3,Intermediate,"",75
L4-076,"Understanding and able to instruct others in our processes including supporting the use of early tools and process routines",4,Advanced,"Keg line - inside, Keg line - outside, Keg loading, Can lines, Bot lines, Packaging, Piloting, Loading",76
L4-077,"Understanding and able to demonstrate clear awareness of the Logistics Pillar Handbook or BD, PM, PDCA & all Critical process within Logistics VPO.",4,Advanced,"",77
L4-078,"Completion of SV / RCA / Problem solving / Data compilation t owes to VPO Tools & GCP -s",4,Advanced,"",78
L4-079,"Update daily / weekly KPI boards & folders",4,Advanced,"",79
L4-080,"Able to Comply per cada laws bucling GM SWO & PtG process",4,Advanced,"",80
L4-081,"Use / completion / understanding of ESW & GWD process",4,Advanced,"",81
L4-082,"Pilot ign duties of all areas with fluency",4,Advanced,"",82
L4-083,"Revision invest gets in & expecting with knowledge of form completion to ABI / BBG standards, aware of Crisis Management control",4,Advanced,"",83
L4-084,"Able to control JPA. Enter equity, empty keg quality, counting-manpower across areas to act workforce land delivering SL & ACT",4,Advanced,"",84
L4-085,"Understands and ability to review, validate and complete yules",4,Advanced,"",85
L4-086,"Attend and contribute to Operational Meetings if needed",4,Advanced,"",86
L4-087,"Able to manage and communicate clearly at the debrief of any goods process",4,Advanced,"",87
L4-088,"Block c stock report compilation and c check / recording of errors and cost to end-understanding",4,Advanced,"",88
L4-089,"PV slick On / Off",4,Advanced,"",89
L4-090,"Export Container Controls loading patterns and paperwork",4,Advanced,"",90
L4-091,"SLOG control",4,Advanced,"",91
L4-092,"Investigation of failed delivery notes and inbound products",4,Advanced,"",92
L4-093,"Application of inbound and outbound orders",4,Advanced,"",93
L4-094,"Application of ZD22 - manuals mode controls",4,Advanced,"",94
L4-095,"Understanding and able to instruct others in our processes including encouraging and supporting the use of early tools and process routines",4,Advanced,"",95
L4-096,"Understanding and able to demonstrate clear awareness of BD, PM, PDCA & all critical process within Logistics VPO.",5,Advanced Plus,"Keg line - inside, Keg line - outside, Keg loading, Can lines, Bot lines, Packaging, Piloting, Loading",96
L4-097,"Completion of SV / RCA / Problem solving / Data compilation t owes to VPO Tools",5,Advanced Plus,"",97
L4-098,"Update daily / weekly KPI boards & folders",5,Advanced Plus,"",98
L4-099,"Use / completion / understanding of ESW & OWD process",5,Advanced Plus,"",99
L4-100,"Knowing & understands Ipower up within the FM nc troubleshooting",5,Advanced Plus,"",100
L4-101,"Piloting duties of all areas with fluency",5,Advanced Plus,"",101
L4-102,"Revision invest gets in & expecting with knowledge of form completion to ABI / BBG standards.",5,Advanced Plus,"",102
L4-103,"Able to control JPA. Enter equity, empty keg quality, counting-manpower",5,Advanced Plus,"",103
L4-104,"Understanding and ability to review, validate and complete yules",5,Advanced Plus,"",104
L4-105,"Attend and contribute to own t op and externally operations meetings if needed",5,Advanced Plus,"",105
L4-106,"Able to manage and communicate clearly at the debrief of any goods process",5,Advanced Plus,"",106
L4-107,"Block c stock report compilation and c check / recording of errors and cost to end-understanding",5,Advanced Plus,"",107
L4-108,"PV slick On / Off",5,Advanced Plus,"",108
L4-109,"Export Container Controls",5,Advanced Plus,"",109
L4-110,"SLOG control",5,Advanced Plus,"",110
L4-111,"Invest gation of failed delivery notes and inbound products",5,Advanced Plus,"",111
L4-112,"Application of inbound and outbound orders",5,Advanced Plus,"",112
L4-113,"Application of ZD22 - manuals mode controls",5,Advanced Plus,"",113
L4-114,"EMCS interface automation",5,Advanced Plus,"",114
L4-115,"Understanding and able to instruct others in our processes including encouraging and supporting the use of early tools and process routines with a view and Support to AhH",5,Advanced Plus,"",115
L6-116,"Undertake the shift handover when covering for the FLM and ensure that all relevant reports have been updated",6,MOP,"Keg line - inside, Keg line - outside, Keg loading, Can lines, Bot lines, Packaging, Piloting, Loading",116
L6-117,"Receives ar accounts for how the process wor ks per the relevant shift / area within a role potentially responsible for subsequent accident/incident investigation",6,MOP,"",117
L6-118,"Conduct handover to the oncoming FLM/Mult. Operator, proving details on all relevant shift issues.",6,MOP,"",118
L6-119,"Contribution to Support with an individual basis to be included with Infeed EES, Quality and all relevant shift issues gets solved and unresolved.",6,MOP,"",119
L6-120,"Managing any areas of opportunity (AoO) for in the Shift Improvements as they occur with areas to cover all relevant shifts.",6,MOP,"",120
L6-121,"Facilitate effective communication if briefing plan priorities across the team and across site",6,MOP,"",121
L6-122,"Completion of new format form into the Point Lessons (OPLs)",6,MOP,"",122
L6-123,"Contribute to departmental Improvement Task Force (ITF) initiatives.",6,MOP,"",123
L6-124,"Attend and participate in any meetings as key team member.",6,MOP,"",124
L6-125,"Is able to collaborate (and train/guide people) across match/automatically completion",6,MOP,"",125
L6-126,"Carry out Quality Block Stock checks where necessary and disc vigilentials prince as rornsed ay Quality.",6,MOP,"",126
L6-127,"Check that inbound/single exceptions are main lined throughout the shift in one chart/visually register he WMS work queue for prioritization of tasks.",6,MOP,"",127
L6-128,"Monitor SIGMA throughout the shift to ensure Logistics are providing the service required and not incurring any downtime.",6,MOP,"",128
L6-129,"Ensure all Logistics areas work together to priorities.",6,MOP,"",129
L6-130,"Ensure all Logistics related assets including FLT, s are returns and operated via audit manner",6,MOP,"",130
L6-131,"Demonstrate shift ownership behaviour, responsibility and ensure food hygiene safety regulations as defined by policy or legislation",6,MOP,"",131
